TestId,Date,Time,Name,Team,Hours,Quality
SLP001,09/19/2022,07:45:00,1,Football,8.1,8
SLP002,09/19/2022,07:46:00,2,Football,7.4,7
SLP003,09/19/2022,07:47:00,3,Soccer,6.9,6
SLP004,09/19/2022,07:48:00,4,Soccer,8.6,9
SLP005,09/19/2022,07:49:00,5,Skiing,7.2,7
SLP006,09/19/2022,07:50:00,6,Skiing,8.0,8
SLP007,09/19/2022,07:51:00,7,Track,6.5,6
SLP008,09/19/2022,07:52:00,8,Track,7.8,8
SLP009,09/18/2022,07:45:00,1,Football,7.9,8
SLP010,09/18/2022,07:46:00,2,Football,7.1,7
SLP011,09/18/2022,07:47:00,3,Soccer,6.6,6
SLP012,09/18/2022,07:48:00,4,Soccer,8.4,9
SLP013,09/18/2022,07:49:00,5,Skiing,7.0,7
SLP014,09/18/2022,07:50:00,6,Skiing,7.8,8
SLP015,09/18/2022,07:51:00,7,Track,6.2,6
SLP016,09/18/2022,07:52:00,8,Track,7.5,7
SLP017,09/17/2022,07:45:00,1,Football,8.3,9
SLP018,09/17/2022,07:46:00,2,Football,7.6,8
SLP019,09/17/2022,07:47:00,3,Soccer,6.8,6
SLP020,09/17/2022,07:48:00,4,Soccer,8.8,9
SLP021,09/17/2022,07:49:00,5,Skiing,7.4,7
SLP022,09/17/2022,07:50:00,6,Skiing,8.1,8
SLP023,09/17/2022,07:51:00,7,Track,6.7,6
SLP024,09/17/2022,07:52:00,8,Track,7.9,8
